RR,err,Sig,ID,Kingdom,Phylum,Class,Order,Family,Genus
-2.6625878270254524,1.8232558139534882,3.765112173508923,ASV_6727,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA
-2.6625878270254524,1.8232558139534882,3.765112173508923,ASV_6728,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA
-2.6625878270254524,1.8232558139534882,3.765112173508923,ASV_6729,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas
-2.0368819272610397,1.7043478260869565,1.244086473315313,ASV_6731,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Nitrobacter
-2.6625878270254524,1.8232558139534882,3.765112173508923,ASV_6732,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Edaphobaculum
-2.6625878270254524,1.8232558139534882,3.765112173508923,ASV_6733,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,NA
-2.0368819272610397,1.7043478260869565,1.244086473315313,ASV_6734,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas
-2.6625878270254524,1.8232558139534882,3.765112173508923,ASV_6736,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA
-2.0368819272610397,1.7043478260869565,1.244086473315313,ASV_6737,Bacteria,Caldisericota,Caldisericia,Caldisericales,Caldisericaceae,Caldisericum
-2.6625878270254524,1.8232558139534882,3.765112173508923,ASV_6738,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA
-2.6625878270254524,1.8232558139534882,3.765112173508923,ASV_6740,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,NA
-2.6625878270254524,1.8232558139534882,3.765112173508923,ASV_6741,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae (Subgroup 1),Bryocella
-2.6625878270254524,1.8232558139534882,3.765112173508923,ASV_6743,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Cellulomonadaceae,NA
-2.0368819272610397,1.7043478260869565,1.244086473315313,ASV_6745,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriales,Acidobacteriaceae (Subgroup 1),NA
-2.0368819272610397,1.7043478260869565,1.244086473315313,ASV_6746,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,NA
-2.0368819272610397,1.7043478260869565,1.244086473315313,ASV_6747,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,NA
-2.0368819272610397,1.7043478260869565,1.244086473315313,ASV_6748,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter
-2.6625878270254524,1.8232558139534882,3.765112173508923,ASV_6749,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Telluria
-2.0368819272610397,1.7043478260869565,1.244086473315313,ASV_6752,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Gallionellaceae,Gallionella
-2.0368819272610397,1.7043478260869565,1.244086473315313,ASV_6755,Bacteria,Firmicutes,Desulfitobacteriia,Desulfitobacteriales,Desulfitobacteriaceae,NA
-2.0368819272610397,1.7043478260869565,1.244086473315313,ASV_6758,Bacteria,Planctomycetota,Planctomycetes,Isosphaerales,Isosphaeraceae,Aquisphaera
-2.0368819272610397,1.7043478260869565,1.244086473315313,ASV_6759,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,Oryzihumus
-2.0368819272610397,1.7043478260869565,1.244086473315313,ASV_6776,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,NA
-2.6625878270254524,1.8232558139534882,3.765112173508923,ASV_6782,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter
-2.6625878270254524,1.8232558139534882,3.765112173508923,ASV_6783,Bacteria,Firmicutes,Desulfitobacteriia,Desulfitobacteriales,Desulfitobacteriaceae,Desulfosporosinus
-2.6625878270254524,1.8232558139534882,3.765112173508923,ASV_6784,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,AKAU3564 sediment group,NA
2.6026896854443837,1.8148148148148149,3.480440786647254,ASV_6796,Bacteria,Firmicutes,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Tumebacillus
2.6026896854443837,1.8148148148148149,3.480440786647254,ASV_6800,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,NA
2.6026896854443837,1.8148148148148149,3.480440786647254,ASV_6802,Bacteria,Firmicutes,Bacilli,Alicyclobacillales,Alicyclobacillaceae,Alicyclobacillus
2.6026896854443837,1.8148148148148149,3.480440786647254,ASV_6804,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Domibacillus
2.6026896854443837,1.8148148148148149,3.480440786647254,ASV_6805,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,NA
2.6026896854443837,1.8148148148148149,3.480440786647254,ASV_6807,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,Solirubrobacteraceae,NA
1.9810014688665833,1.6896551724137931,1.0694322179868758,ASV_6809,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 13
1.9810014688665833,1.6896551724137931,1.0694322179868758,ASV_6810,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Homoserinimonas
2.6026896854443837,1.8148148148148149,3.480440786647254,ASV_6811,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus
2.6026896854443837,1.8148148148148149,3.480440786647254,ASV_6812,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,NA
2.6026896854443837,1.8148148148148149,3.480440786647254,ASV_6814,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,NA
2.6026896854443837,1.8148148148148149,3.480440786647254,ASV_6815,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Actimicrobium
2.6026896854443837,1.8148148148148149,3.480440786647254,ASV_6818,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,NA
2.6026896854443837,1.8148148148148149,3.480440786647254,ASV_6819,Bacteria,Firmicutes,Clostridia,Oscillospirales,Hungateiclostridiaceae,Ruminiclostridium
2.6026896854443837,1.8148148148148149,3.480440786647254,ASV_6820,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,NA
2.6026896854443837,1.8148148148148149,3.480440786647254,ASV_6821,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,NA
2.6026896854443837,1.8148148148148149,3.480440786647254,ASV_6822,Bacteria,Firmicutes,Bacilli,Brevibacillales,Brevibacillaceae,Brevibacillus
