""	"1_S72_L002"	"10_S81_L002"	"11_S82_L002"	"12_S83_L002"	"13_S84_L002"	"14_S85_L002"	"15_S86_L002"	"16_S87_L002"	"17_S88_L002"	"18_S89_L002"	"19_S90_L002"	"2_S73_L002"	"20_S91_L002"	"21_S92_L002"	"22_S93_L002"	"23_S94_L002"	"24_S95_L002"	"25_S96_L002"	"26_S97_L002"	"27_S98_L002"	"28_S99_L002"	"29_S100_L002"	"3_S74_L002"	"30_S101_L002"	"31_S102_L002"	"32_S103_L002"	"33_S104_L002"	"34_S105_L002"	"35_S106_L002"	"36_S107_L002"	"37_S108_L002"	"38_S109_L002"	"39_S110_L002"	"4_S75_L002"	"40_S111_L002"	"41_S112_L002"	"42_S113_L002"	"43_S114_L002"	"44_S115_L002"	"45_S116_L002"	"46_S117_L002"	"47_S118_L002"	"48_S119_L002"	"49_S120_L002"	"5_S76_L002"	"50_S121_L002"	"51_S122_L002"	"52_S123_L002"	"53_S124_L002"	"6_S77_L002"	"7_S78_L002"	"8_S79_L002"	"9_S80_L002"
"ASV_20"	0	11	13	56	58	108	75	72	3	11	127	0	14	49	0	0	4	15	8	7	0	2	0	0	0	0	94	219	308	110	47	337	937	0	214	32	42	86	77	95	67	166	29	107	0	0	18	78	0	0	0	0	7
"ASV_21"	19	106	105	570	53	139	125	96	0	0	0	45	0	14	0	0	0	54	55	0	43	58	14	41	91	33	146	182	210	233	26	60	290	88	98	0	0	0	0	26	0	92	0	0	49	0	0	81	0	37	36	0	34
"ASV_22"	36	0	0	0	0	0	0	0	0	0	0	235	0	0	0	0	0	476	427	526	363	236	37	73	127	75	0	0	0	0	0	0	0	398	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	47	31	49	0
"ASV_23"	34	10	72	0	41	77	66	97	0	0	0	0	0	936	497	232	247	0	0	0	0	0	0	0	0	0	17	25	17	13	23	212	347	0	49	0	0	0	0	0	0	0	0	0	0	49	16	24	0	0	0	0	0
"ASV_24"	0	0	28	141	61	73	100	55	0	0	0	158	0	0	0	0	0	125	165	140	205	89	45	0	56	55	94	119	118	270	0	98	221	138	83	0	0	0	0	0	0	0	0	0	120	0	0	94	0	103	0	75	34
"ASV_25"	0	0	0	0	0	0	0	0	0	45	102	24	0	50	34	24	0	45	22	59	0	28	0	0	26	0	0	19	0	0	0	0	0	26	0	727	211	967	320	127	57	63	43	0	0	0	0	0	0	0	0	0	0
"ASV_26"	20	148	122	232	130	279	398	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	97	169	282	55	75	238	0	0	0	0	0	0	0	0	0	0	23	0	0	0	262	0	0	0	0	104
"ASV_27"	215	0	0	0	0	9	0	0	0	0	0	263	0	0	0	0	0	0	0	0	0	0	246	0	0	0	0	0	0	0	0	0	0	1078	0	0	0	0	0	0	0	0	0	0	469	0	0	0	0	141	192	188	0
"ASV_28"	0	59	58	162	32	61	0	21	0	0	187	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	90	221	253	219	15	20	124	0	46	188	107	177	188	59	73	222	0	0	0	0	0	0	0	0	0	0	0
"ASV_29"	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	70	91	99	65	547	0	273	498	150	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	229	144	140	0
"ASV_30"	0	0	0	0	17	47	86	27	0	12	27	0	0	449	607	262	264	0	0	0	0	0	0	0	0	0	19	0	16	24	28	102	146	0	60	0	0	0	0	29	15	91	0	0	0	0	18	192	0	0	0	0	0
"ASV_31"	0	0	0	0	0	7	13	24	0	0	103	0	0	110	39	22	26	0	0	0	0	0	0	0	0	0	96	120	143	66	0	73	142	0	49	35	0	49	0	427	506	418	33	0	0	0	0	0	0	0	0	0	0
"ASV_32"	0	0	0	0	0	0	0	0	0	3	102	0	11	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	234	392	1208	105	38	0	105	0	0	16	0	0	0	0	0	0	0
