"absabundRR"	"absabunderr_R"	"absabundSig_adjust_R"	"ID"	"absabundICu_R"	"ID"
"ASV_1"	4.64624882331577	2.04392437247635	1	"ASV_1"	6.69017319579212	"ASV_1"
"ASV_2"	-1.07453829095206	0.977264559288619	0.478727615606428	"ASV_2"	-0.0972737316634361	"ASV_2"
"ASV_3"	3.14015500290203	1.87172606156133	1	"ASV_3"	5.01188106446335	"ASV_3"
"ASV_4"	4.9812521790113	2.22263911188906	1	"ASV_4"	7.20389129090036	"ASV_4"
"ASV_5"	-0.497583846601853	1.12977561150733	-4.690095776447	"ASV_5"	0.632191764905477	"ASV_5"
"ASV_6"	-1.13837462135661	1.78318611717646	-8.7041550709239	"ASV_6"	0.644811495819849	"ASV_6"
"ASV_7"	2.09365918380089	2.88018477224479	-19.0586022050864	"ASV_7"	4.97384395604568	"ASV_7"
"ASV_9"	3.64443066278097	1.52531210065918	1	"ASV_9"	5.16974276344015	"ASV_9"
"ASV_10"	0.209418557780456	0.959076276782682	-3.97889804249711	"ASV_10"	1.16849483456314	"ASV_10"
"ASV_11"	-1.0134082400944	1.92057394691098	-12.639277500002	"ASV_11"	0.907165706816583	"ASV_11"
"ASV_12"	-0.422649774883081	1.79255718436798	-14.5577009107452	"ASV_12"	1.36990740948489	"ASV_12"
"ASV_15"	-0.875346771698505	2.42867068617707	-25.7706799660092	"ASV_15"	1.55332391447856	"ASV_15"
"ASV_16"	0.53725861975674	2.1426229981373	-21.1786955235981	"ASV_16"	2.67988161789404	"ASV_16"
"ASV_17"	-0.842548907847997	0.811710232225821	0.122442897626203	"ASV_17"	-0.0308386756221761	"ASV_17"
"ASV_18"	-1.01846634655707	1.70649475396562	-8.64131529475427	"ASV_18"	0.688028407408553	"ASV_18"
"ASV_19"	0.124123068098978	1.55429569969343	-11.242854186972	"ASV_19"	1.67841876779241	"ASV_19"
"ASV_20"	0.526403397602457	1.14930133766078	-4.76420579773738	"ASV_20"	1.67570473526324	"ASV_20"
"ASV_21"	10.4076560897671	7.72901064327438	1	"ASV_21"	18.1366667330415	"ASV_21"
"ASV_22"	1.09696688348888	1.55670864524863	-5.58204445899246	"ASV_22"	2.65367552873751	"ASV_22"
"ASV_23"	0.0258294778132176	0.990124444237901	-4.45534905817363	"ASV_23"	1.01595392205112	"ASV_23"
"ASV_25"	1.2767323771686	2.64518275474598	-27.130490349839	"ASV_25"	3.92191513191458	"ASV_25"
"ASV_26"	4.71384310461696	4.05037294465221	1	"ASV_26"	8.76421604926917	"ASV_26"
"ASV_27"	-0.584416434010839	2.34898590440431	-26.0611230316251	"ASV_27"	1.76456947039347	"ASV_27"
"ASV_28"	-0.360263734117937	2.26665612545888	-25.0130975617016	"ASV_28"	1.90639239134094	"ASV_28"
"ASV_29"	0.262848167222191	1.58416349973745	-11.4590055730525	"ASV_29"	1.84701166695964	"ASV_29"
"ASV_30"	-0.334428507354719	1.37335863169341	-8.16772965634539	"ASV_30"	1.03893012433869	"ASV_30"
"ASV_31"	-0.0379622295060999	1.44944149926101	-9.73611845651548	"ASV_31"	1.41147926975491	"ASV_31"
"ASV_32"	-1.52895711871861	2.01884181200812	-7.99103252160262	"ASV_32"	0.489884693289504	"ASV_32"
"ASV_33"	18.0211294462718	5.12389089958713	1	"ASV_33"	23.145020345859	"ASV_33"
"ASV_34"	0.426684730309537	1.90149414321173	-16.5350131398885	"ASV_34"	2.32817887352126	"ASV_34"
"ASV_36"	3.06765926856932	2.54525459809054	1	"ASV_36"	5.61291386665985	"ASV_36"
"ASV_37"	2.49720192132123	4.55363930561767	-87.5329796712632	"ASV_37"	7.05084122693891	"ASV_37"
"ASV_38"	-0.356444744775072	1.68316034729018	-12.8988280794431	"ASV_38"	1.32671560251511	"ASV_38"
"ASV_39"	-0.919237092476478	2.2622241045589	-20.9784311660873	"ASV_39"	1.34298701208242	"ASV_39"
"ASV_40"	0.139627101582056	1.73160424394197	-14.2724321921817	"ASV_40"	1.87123134552402	"ASV_40"
"ASV_41"	3.6951662699621	2.11062850361573	1	"ASV_41"	5.80579477357783	"ASV_41"
