absabundRR,absabunderr_R,absabundSig_adjust_R,absabundICl_R,absabundICu_R,ID,Kingdom,Phylum,Class,Order,Family,Genus
-15.349919814017944,7.687750840068007,1,-23.03767065408595,-7.662168973949938,ASV_14775,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,NA
-15.349919814017944,7.687750840068007,1,-23.03767065408595,-7.662168973949938,ASV_14778,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,NA
-15.349919814017944,7.687750840068007,1,-23.03767065408595,-7.662168973949938,ASV_14780,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,NA
-15.349919814017944,7.687750840068007,1,-23.03767065408595,-7.662168973949938,ASV_14782,Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,Reyranella
-15.349919814017944,7.687750840068007,1,-23.03767065408595,-7.662168973949938,ASV_14783,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,NA
-15.349919814017944,7.687750840068007,1,-23.03767065408595,-7.662168973949938,ASV_14784,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,NA
-15.349919814017944,7.687750840068007,1,-23.03767065408595,-7.662168973949938,ASV_14790,Bacteria,Myxococcota,Polyangia,Polyangiales,Sandaracinaceae,NA
-15.349919814017944,7.687750840068007,1,-23.03767065408595,-7.662168973949938,ASV_14792,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,NA
-15.349919814017944,7.687750840068007,1,-23.03767065408595,-7.662168973949938,ASV_14793,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,NA
-15.349919814017944,7.687750840068007,1,-23.03767065408595,-7.662168973949938,ASV_14795,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,Oryzihumus
