"AT3_R5_POST_SOIL","AT3_R5_PRE_SOIL","AT3_R6_POST_SOIL","AT3_R6_PRE_SOIL","AT3_R7_POST_SOIL","AT3_R7_PRE_SOIL","AT3_R8_POST_SOIL","AT3_R8_PRE_SOIL","AT4_R5_POST_SOIL","AT4_R5_PRE_SOIL","AT4_R6_POST_SOIL","AT4_R6_PRE_SOIL","AT4_R7_POST_SOIL","AT4_R7_PRE_SOIL","AT4_R8_POST_SOIL","AT4_R8_PRE_SOIL","BEO1_R5_POST_SOIL","BEO1_R5_PRE_SOIL","BEO1_R6_POST_SOIL","BEO1_R6_PRE_SOIL","BEO1_R7_POST_SOIL","BEO1_R7_PRE_SOIL","BEO1_R8_POST_SOIL","BEO1_R8_PRE_SOIL","BEO2B_R5_POST_SOIL","BEO2B_R5_PRE_SOIL","BEO2B_R6_POST_SOIL","BEO2B_R6_PRE_SOIL","BEO2B_R7_POST_SOIL","BEO2B_R7_PRE_SOIL","BEO2B_R8_POST_SOIL","BEO2B_R8_PRE_SOIL","DNA_BLANK_1_POST_THAW_SOIL","DNA_BLANK_1_PRE_THAW_SOIL","DNA_BLANK_2_POST_THAW_SOIL","DNA_BLANK_2_PRE_THAW_SOIL","FL1C4_R5_POST_SOIL","FL1C4_R5_PRE_SOIL","FL1C4_R6_POST_SOIL","FL1C4_R6_PRE_SOIL","FL1C4_R7_POST_SOIL","FL1C4_R7_PRE_SOIL","FL1C4_R8_POST_SOIL","FL2C3_R5_POST_SOIL","FL2C3_R5_PRE_SOIL","FL2C3_R6_POST_SOIL","FL2C3_R6_PRE_SOIL","FL2C3_R7_POST_SOIL","FL2C3_R7_PRE_SOIL","FL2C3_R8_POST_SOIL","FL2C3_R8_PRE_SOIL","PCR_BLANK"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,13,3,56,0,0,0,0,115,0,80,64,0,95,853,7,957,14,46,292,81,0,543,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,8,0,0,0,0,0,0,0,0,0
12,0,0,4,24,0,0,0,0,0,0,41,0,0,12,42,0,23,0,0,0,0,0,0,0,0,2,10,0,0,17,0,0,0,0,0,223,81,167,78,10,116,1169,0,583,0,0,457,0,19,320,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
