Combined_Sample1	Combined_Sample15	Combined_Sample13	Combined_Sample40	Combined_Sample41	Combined_Sample42	Combined_Sample48	Combined_Sample24	Combined_Sample3	Combined_Sample6	Combined_Sample32	Combined_Sample7	Combined_Sample8	Combined_Sample9	Combined_Sample10
0	0	0	0	0	0	0	453	0	0	0	0	0	0	0
0	138	1741	1445	761	420	1562	184	0	0	0	0	0	57	82
876	203	5	0	0	0	0	0	796	2515	1768	507	1256	17	51
0	0	15	0	1334	3375	3183	0	0	0	0	0	0	0	0
820	0	0	0	0	0	0	0	344	2073	1536	1179	1755	0	0
22	0	0	0	1885	3865	1826	0	28	10	8	0	0	0	0
1368	0	0	0	0	0	0	0	1067	1681	3203	240	403	0	0
0	1493	1307	843	0	0	60	0	22	44	42	0	0	337	1152
562	11	0	0	0	0	0	0	360	1909	1794	826	1948	0	0
0	0	0	18	1721	3682	2030	0	0	0	0	0	0	0	0
0	1383	0	0	0	0	0	0	0	0	0	0	0	1797	3029
887	96	2015	1527	0	0	0	0	775	404	571	160	844	191	0
916	0	0	0	0	0	0	0	2140	147	89	429	4070	0	0
0	1399	220	442	0	0	56	2	0	0	0	0	0	544	1843
1287	40	0	0	0	0	0	0	1310	1097	1600	469	876	9	40
0	100	69	0	0	0	0	0	0	0	0	0	0	6999	245
0	394	68	0	0	0	0	0	0	0	0	0	0	3809	1314
5341	0	0	0	0	0	0	0	759	0	0	751	429	0	0
77	543	1249	1346	274	250	608	60	145	24	24	22	43	621	616
612	0	0	0	0	0	0	0	405	2083	1404	881	1519	0	0
485	223	1283	1363	0	0	0	0	862	194	123	683	985	207	144
0	992	1020	740	601	374	317	0	0	0	0	0	0	429	984
0	0	214	187	1178	2439	2321	115	0	0	0	0	0	0	0
20	269	3760	1258	10	24	267	11	11	37	30	2	20	157	140
0	0	0	0	1269	2867	2251	0	0	0	0	0	0	0	0
576	1438	131	128	0	0	18	0	426	205	238	149	614	568	1411
2021	173	0	0	0	0	0	0	1028	786	862	491	568	88	81
0	235	3090	2687	20	0	0	10	0	0	0	0	0	50	170
859	0	0	0	0	0	0	0	964	1037	1378	544	1404	0	0
1161	600	138	0	0	0	0	0	662	907	785	501	692	192	320
146	1116	675	819	0	0	0	0	122	105	137	0	84	926	1298
0	205	3862	2099	8	0	0	0	0	13	0	0	17	32	0
232	860	491	374	0	0	107	0	202	390	418	213	467	542	887
0	0	0	0	3971	2435	49	0	0	0	0	0	0	0	0
589	0	0	0	0	0	0	0	438	1597	1543	627	1355	0	0
