"","X1_S1_L001_reseq","X2_S73_L002","X4_S75_L002","X3_S3_L001_reseq","X5_S5_L001_reseq","X6_S6_L001_reseq","X29_S100_L002","X31_S102_L002","X4_S4_L001_reseq","X8_S8_L001_reseq","X9_S9_L001_reseq","X12_S12_L001_reseq","X14_S85_L002","X15_S86_L002","X16_S87_L002","X33_S104_L002","X34_S105_L002","X35_S106_L002","X38_S109_L002","X39_S110_L002","X13_S13_L001_reseq","X17_S88_L002","X18_S89_L002","X19_S90_L002","X20_S91_L002","X21_S92_L002","X22_S93_L002","X23_S94_L002","X17_S17_L001_reseq","X14_S14_L001_reseq","X15_S15_L001_reseq","X43_S114_L002","X44_S115_L002","X45_S116_L002","X46_S117_L002","X47_S118_L002","X16_S16_L001_reseq"
"ASV_1",17478804.9773623,188852877.442693,28471340.9123087,0.01,14519882.6611097,12719721.5034672,0.01,0.01,0.01,4071163461.24738,860445256.809348,0.01,5239322924.40135,554163301.161026,2378751113.94062,0.01,0.01,0.01,0.01,0.01,0.01,0.01,404649597.6,0.01,0.01,48056595.532,104261594.397,86508561.402,45172697.052,5343337.008,12518130.06,0.01,0.01,26630866.392,31844718.27,51680011.718,25025501.6
"ASV_2",8739402.48868115,0.01,0.01,1379831.05241636,558457.025427296,136771.198962013,0.01,6401245.31314707,3877329.67907105,549025472.488218,182017265.863516,1066453927.7758,594973959.211679,97356870.5285471,164492642.418681,762581124.093229,339440607.386209,481197304.203949,36824928.9098348,14477619.5497941,13923025.4336046,0.01,0.01,671933692.18,66587560.52,38854268.728,53402280.057,44102403.852,36568373.804,907699374.234,1806783438.66,959314282.5,759346135.32,85077369.624,48160222.075,153624144.422,175178511.2
"ASV_3",40783878.280512,14253047.3541655,44443068.7411648,48294086.8345724,5305341.74155931,3008966.37716428,18450723.3284069,26161611.2798185,51697729.0542806,118645335.156352,121344843.909011,50483026.1669019,15540364.6062752,856512.057435898,8522934.84034617,89163331.4324391,103512581.262329,70198194.9662231,2379138.66552303,607282.69923633,408899.425362836,299643948.66,179844265.6,0.01,15007811717.2,20960855.498,207675533.555,192806662.994,77438909.232,18701679.528,31295325.15,43854367.2,34320729.28,14140283.04,16118931.47,51680011.718,19019381.216
"ASV_4",71857309.3513784,24150996.9056694,48609606.435649,919887.36827757,61849115.566073,98201720.8547253,0.01,2504835.12253581,2584886.45271403,183783950.53631,185694382.345607,56793404.4377646,24420572.9527182,2569536.17230769,22159630.5849,87990129.7030649,96118825.4578769,135867474.128174,2172257.04243407,995943.626747581,388454.454094694,12992426942.46,45680443462.4,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2502550.16
"ASV_5",112641187.63189,56616271.434602,78469793.2461191,32196057.889715,8097626.86869579,9984297.52422694,25974319.2487281,41468937.0286484,80131480.0341349,241943428.55413,47802514.267186,727271095.71693,293046875.432618,48250179.2355556,89490815.8236347,366038939.56475,192237650.915754,200404524.339056,24980955.9879919,10250931.9631092,9997590.95012133,0.01,0.01,0.01,0.01,65950008.762,50859314.34,0.01,58079181.924,2003751.378,0.01,0.01,0.01,21917438.712,18084654.82,89201116.116,21021421.344
"ASV_6",24276118.0241143,13065293.4079851,18749419.6251789,11498592.1034696,558457.025427296,2188339.18339221,0.01,0.01,10985767.4240346,239617049.433417,79058004.3649614,1001772550.49946,139863281.456477,27979393.8762393,81820174.4673232,383636965.505363,198287087.483033,219652416.507214,34083747.4039061,10858214.6623456,6624170.69087794,0.01,0.01,0.01,0.01,0.01,3390620.956,0.01,3226621.218,0.01,0.01,0.01,0.01,1414028.304,0.01,0.01,1501530.096
"ASV_7",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,846801999.939456,1862459498.17921,1577594.56771568,666015625.983223,62525380.1928206,41762380.7176962,154862628.277394,85364271.5604921,169834342.660217,0.01,0.01,40889.9425362836,0.01,0.01,0.01,0.01,0.01,46621038.145,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_9",152454021.191438,270807899.729145,59720373.6209402,0.01,103314549.70405,8753356.73356882,0.01,0.01,0.01,176804813.174172,746454645.86452,6310378.27086274,239765625.35396,22554817.5124786,157674294.546404,0.01,0.01,7925602.6574768,0.01,437243.543450158,8259768.39232928,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2003751.378,2086355.01,0.01,0.01,5656113.216,0.01,15574798.052,10510710.672
"ASV_10",94191337.9335635,33653028.475113,120829593.140042,68991552.6208178,15357568.1992506,11625551.9117711,40125844.90838,64569083.1587009,112442560.69306,439685653.814717,432061186.645719,63103782.7086274,28860677.1259397,4568064.30632479,0.01,343748106.70664,149219435.326215,238900308.675372,1551612.1731672,825904.470961409,695129.023116821,0.01,0.01,0.01,0.01,249996544.842,200894291.643,124391395.48,152188967.449,4675419.882,4172710.02,0.01,0.01,41006820.816,42852769.03,331318431.288,54555593.488
"ASV_11",10681491.9306103,0.01,14582881.9306947,2759662.10483271,0.01,547084.795848052,0.01,0.01,2584886.45271403,109339818.673501,7354232.96418246,283967022.188823,102122395.984094,20841793.3976068,54546782.9782155,283914818.508556,110906337.066781,132470787.274969,8895909.79282526,5319796.44531025,4416113.79391863,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_12",604960861.160929,76412170.5376096,445125110.360729,459943.684138785,42442733.9324745,22704019.0276941,0.01,0.01,646221.613178508,0.01,0.01,0.01,4440104.17322148,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,166496844.08,0.01,8179846.048,9324207.629,11308308.68,3764391.421,442161137.412,467343522.24,796687670.8,319611791.42,16968339.648,8452610.405,29025760.006,44545392.848
"ASV_15",27189252.187008,7522441.65914292,0.01,9198873.6827757,837685.538140944,273542.397924026,4299197.668755,7236190.35399234,16801761.9426412,0.01,9192791.20522807,6310378.27086274,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,20444.9712681418,0.01,146123465.8,1361706331.94,210006921.64,0.01,0.01,0.01,0.01,129575922.444,984759564.72,990377792.6,2301633907.34,16025654.112,0.01,0.01,201705542.896
"ASV_16",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,178439654.82,89922132.8,285423161.28,15366360.12,10736047.938,0.01,0.01,537770.203,16697928.15,77195135.37,73090612,68641458.56,13433268.888,10025189.085,72210427.332,18018361.152
"ASV_17",971044.720964573,0.01,0.01,0.01,0.01,0.01,0.01,0.01,646221.613178508,18611032.9657023,34932606.5798667,370734723.413186,86582031.377819,7994112.53606838,30682565.4252462,91509734.8911875,88052910.0348383,183421090.073035,12930101.44306,9109240.48854495,6644615.66214608,0.01,44961066.4,107033685.48,0.01,116562806.184,119519388.699,94989792.912,20435267.714,78146303.742,154390270.74,179071999.4,135137871.54,94268553.6,80201512.68,241409369.806,101103026.464
"ASV_18",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,25590170.3278407,31255490.0977754,48905431.5991862,46621093.8188256,4568064.30632479,13636695.7445539,66872498.5743294,79314834.9932131,87181629.2322448,1913655.01357288,1384604.55425883,1022248.56340709,0.01,0.01,0.01,0.01,2556201.89,0.01,0.01,537770.203,0.01,0.01,0.01,0.01,2592385.224,1376006.345,44600558.058,3003060.192
"ASV_19",48552236.0482286,16232637.2644663,36804416.3012771,22077296.8386617,4886498.97248884,4103135.96886039,9135795.04610438,24770036.211743,31664859.0457469,58159478.0178198,259236711.987432,66258971.8440587,93242187.6376512,11991168.8041026,46023848.1378693,138437804.066155,67888121.4772417,116619581.960016,2482579.47706751,2842083.03242602,2514731.46598144,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_20",53407459.6530515,55824435.4704816,61109219.5191016,26676733.6800495,6701484.30512755,8479814.3356448,14151525.6596519,15585640.762445,49759064.2147451,141909126.36348,33094048.3388211,141983511.094412,71041666.7715438,9992640.67008548,32387152.3933154,96202541.8086843,55117088.7240973,75859339.7215637,3672148.80982903,2040469.86943407,1676487.64398763,0.01,0.01,0.01,0.01,47545355.154,66964763.881,249913621.828,24199659.135,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_21",193237899.47195,17024473.2285866,32637878.6067929,0.01,22617509.5298055,72488735.4498668,0.01,0.01,0.01,6979137.36213837,5515674.72313684,0.01,93242187.6376512,71376004.7863248,96309163.6959117,0.01,0.01,0.01,0.01,0.01,20444.9712681418,0.01,101162399.4,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2002040.128
"ASV_22",6797313.04675201,0.01,0.01,4599436.84138785,2233828.10170918,957398.39273409,0.01,0.01,11631989.0372131,472254961.504696,292330760.326253,85190106.656647,248645833.700403,42540098.8526496,61365130.8504924,82124121.056194,41001736.7337797,99636147.6939941,3361826.37519559,2526296.02882313,1758267.52906019,0.01,0.01,0.01,0.01,0.01,18648415.258,0.01,9142093.451,1335834.252,0.01,0.01,0.01,8484169.824,0.01,26193978.542,8008160.512
"ASV_23",33986565.23376,25734668.83391,39582108.0975999,17937803.6814126,4746884.71613202,4650220.76470844,16121991.2578313,10019340.4901432,27787529.3666758,227985153.829853,185694382.345607,69414160.9794901,241985677.440571,33689474.2591453,57103663.4303193,57486884.7393358,25542065.506289,66801508.1130188,2275697.85397855,2380548.18100641,1615152.7301832,0.01,0.01,689772639.76,87076040.68,52657758.934,45773382.906,27705356.266,21510808.12,80817972.246,273312506.31,391034774.2,343207292.8,40064135.28,32041290.605,268311293.714,90091805.76
"ASV_25",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4652758.24142558,3677116.48209123,33129485.9220294,24420572.9527182,3426048.22974359,0.01,30503244.9637292,7393755.80445207,20380121.1192261,1448171.36162272,534408.77532797,511124.281703545,84169648.5,0.01,4507307421.88,553188964.32,0.01,4238276.195,0.01,0.01,100855486.026,496552492.38,288707917.4,420428933.68,4713427.68,0.01,0.01,132134648.448
"ASV_26",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1838558.24104561,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,154872153.24,123642932.6,0.01,0.01,169220565.118,182245876.385,98947700.95,152726737.652,3339585.63,4172710.02,0.01,0.01,0.01,0.01,0.01,500510.032
"ASV_27",70886264.6304138,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,6979137.36213837,18385582.4104561,287122211.324255,64381510.5117115,7708608.51692308,43466967.6857654,17598025.940613,10754553.8973848,11322289.5106811,9309673.03900318,3279326.57587618,1288033.18989293,0.01,0.01,0.01,0.01,6646124.914,0.01,0.01,7528782.842,0.01,0.01,0.01,0.01,0.01,1769151.015,46724394.156,3003060.192
"ASV_28",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,51180340.6556814,69865213.1597334,208242482.93847,111002604.330537,16273729.0912821,42614674.2017308,61006489.9274584,35624459.7850873,70198194.9662231,8895909.79282526,3036413.49618165,3148525.57529383,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,6371508.294,1001020.064
"ASV_29",30102386.3499017,53844845.5601809,59025950.6718595,19317634.733829,7958012.61233897,3145737.5761263,0.01,0.01,23910199.6876048,148888263.725619,145246101.042604,110431619.740098,15540364.6062752,856512.057435898,17045869.6806923,77431314.1386971,49067652.1568183,63404821.2598144,5637524.22917415,1141691.4745643,490679.310435403,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_30",13594626.093504,19795899.1030077,45831914.6393262,213413869.440396,29737836.6040035,20378908.6453399,86700486.3198925,136096041.657779,144107419.738807,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,315154740.58,71709680.56,28118220.79,49164003.862,28836187.134,16670876.293,9350839.764,20863550.1,42027101.9,23595501.38,54204418.32,60937423.85,84953443.92,23023461.472
"ASV_31",971044.720964573,5146933.766782,0.01,1379831.05241636,0.01,0.01,0.01,0.01,1292443.22635702,34895686.8106919,66188096.6776421,69414160.9794901,0.01,4853568.32547009,16193576.1966577,177153461.135504,127038167.912858,298908443.081982,3723869.21560127,2016178.56146462,531569.252971686,0.01,0.01,53516842.74,0.01,87422104.638,228019259.291,117606410.272,124762687.096,0.01,0.01,0.01,0.01,3770742.144,2948585.025,41060831.228,1501530.096
"ASV_32",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4652758.24142558,14708465.9283649,105698836.036951,37740885.4723826,7423104.49777778,7670641.35631155,19944429.3993614,0.01,11322289.5106811,4241073.27332367,1457478.47816719,1431147.98876992,0.01,33720799.8,255691581.98,0.01,0.01,2542965.717,3957908.038,0.01,40075027.56,463170812.22,330735019.3,1121858838.34,16261325.496,4521163.705,0.01,117119347.488
"ASV_33",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,11240266.6,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,1501530.096
"ASV_34",91278203.7706698,72057072.734948,74997678.5007156,71751214.7256505,14380268.4047529,14360975.8910114,27228251.902115,48983442.3962559,87886139.392277,6979137.36213837,20224140.6515018,0.01,0.01,0.01,0.01,0.01,0.01,12454518.4617493,0.01,0.01,0.01,0.01,0.01,0.01,0.01,7668605.67,28820278.126,51452804.494,19359727.308,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_36",272863566.591045,72057072.734948,120829593.140042,11958535.7876084,20244067.1717395,3692822.37197435,1791332.36198125,2504835.12253581,2584886.45271403,6979137.36213837,5515674.72313684,3155189.13543137,0.01,0.01,0.01,0.01,0.01,0.01,0.01,121456.539847266,20444.9712681418,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_37",7768357.76771658,0.01,15277304.8797754,0.01,16614096.5064621,69069455.4758165,0.01,0.01,0.01,0.01,3677116.48209123,4732783.70314705,0.01,0.01,0.01,0.01,4032957.71151931,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_38",64088951.5836618,33257110.4930529,52081721.1810525,33575888.9421313,6282641.53605708,9437212.72837889,24362120.122945,33397801.6338108,64622161.3178508,27916549.4485535,7354232.96418246,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,40889.9425362836,0.01,0.01,362725267.46,0.01,22494576.632,0.01,0.01,2688851.015,72135049.608,137699430.66,144353958.7,190909056.62,7541484.288,9632044.415,106899750.266,21521931.376
"ASV_39",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,16284653.8449895,69865213.1597334,25241513.0834509,42180989.6456041,0.01,17045869.6806923,95029340.0793101,94102346.6021173,135867474.128174,879246.898128078,1287439.32238102,715573.994384962,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3339585.63,4172710.02,0.01,0.01,3770742.144,0.01,7079453.66,11011220.704
"ASV_40",29131341.6289372,19795899.1030077,26388072.0650666,16557972.6289963,2652670.87077966,1914796.78546818,7702729.15651938,13637435.6671394,21325313.2348907,127950851.639203,93766470.2933263,12620756.5417255,11100260.4330537,1998528.1340171,0.01,99722146.9968069,32263661.6921545,54346989.6512695,517204.057722399,364369.619541798,224894.68394956,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_41",12623581.3725394,0.01,20138265.5233403,919887.36827757,418842.769070472,136771.198962013,2507865.30677375,0.01,3231108.06589254,76770510.9835221,132376193.355284,12620756.5417255,31080729.2125504,0.01,11079815.29245,104414953.914304,35624459.7850873,134735245.177106,413763.246177919,170039.155786172,224894.68394956,0.01,0.01,4959227427.24,7053159295.08,77708537.456,55945245.774,71807760.118,25812969.744,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_42",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,855163628.76,1124026660,0.01,0.01,8691086.426,12714828.585,1696246.302,1075540.406,0.01,0.01,0.01,0.01,2356713.84,3145157.36,18406579.516,3003060.192
"ASV_43",971044.720964573,3167343.85648123,0.01,0.01,0.01,0.01,0.01,0.01,0.01,48853961.5349686,22062698.8925474,134095538.255833,73261718.8581545,9992640.67008548,39205500.2655924,51620876.0924648,16131830.8460772,27173494.8256348,4706556.92527383,2234800.33318969,1288033.18989293,0.01,0.01,225960002.68,0.01,0.01,0.01,0.01,0.01,97515900.396,365112126.75,239371754.3,360367657.44,4477756.296,0.01,0.01,7507650.48
"ASV_45",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,23785263.44,0.01,0.01,0.01,5088738.906,1613310.609,2671668.504,8345420.04,10963591.8,25740546.96,4242084.912,4128019.035,11327125.856,6006120.384
"ASV_46",12623581.3725394,15044883.3182858,18749419.6251789,16098028.9448575,2373442.35806601,547084.795848052,6269663.26693438,12802490.6262941,12278210.6503916,9305516.48285116,9192791.20522807,33129485.9220294,39960937.5589934,1998528.1340171,5966054.38824232,0.01,0.01,0.01,1603332.57893944,1068817.55065594,224894.68394956,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_47",69915219.9094492,0.01,93747098.1258945,0.01,26387094.4514397,24345273.4152383,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3535070.76,0.01,11327125.856,2002040.128
"ASV_48",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,32569307.6899791,84573679.0880983,126207565.417255,51061197.9920471,8850624.59350428,14488989.2285885,44581665.7162196,10754553.8973848,44156929.0916565,3413546.78096783,971652.318778128,817798.850725671,0.01,0.01,220013686.82,0.01,35275586.082,38144485.755,68415267.514,27426280.353,14694176.772,60504295.29,78572407.9,70786504.14,43599206.04,45211637.05,117518930.756,68569874.384
"ASV_49",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,31551891.3543137,0.01,0.01,10227521.8084154,0.01,9410234.66021173,0.01,1861934.60780064,655865.315175236,511124.281703545,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_50",113612232.352855,39987716.1880755,149300934.052351,0.01,11587983.2776164,7932729.53979675,0.01,0.01,3877329.67907105,9305516.48285116,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,20444.9712681418,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_51",24276118.0241143,0.01,0.01,22537240.5228005,6841098.56148438,2461881.58131623,14509792.1320481,34232746.6746561,32311080.6589254,32569307.6899791,38609723.0619579,115164403.443245,0.01,0.01,0.01,61006489.9274584,0.01,46421386.9937927,3051503.94056215,874487.086900315,633794.109312395,0.01,0.01,404349478.48,10244240.08,10224807.56,0.01,0.01,0.01,13358342.52,56331585.27,109635918,81511732.04,16025654.112,15725786.8,24778087.81,21521931.376
"ASV_52",13594626.093504,0.01,0.01,7819042.63035935,0.01,1094169.5916961,0.01,0.01,3877329.67907105,65138615.3799581,18385582.4104561,15775945.6771568,0.01,0.01,0.01,71565305.4918261,30919342.4549814,63404821.2598144,0.01,0.01,81779.8850725671,0.01,0.01,214067370.96,0.01,20960855.498,16105449.541,10742893.246,6453242.436,13358342.52,14604485.07,32890775.4,0.01,62924259.528,74697487.3,202472374.676,34535192.208
"ASV_54",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,4652758.24142558,0.01,42595053.3283235,8880208.34644297,1427520.0957265,8522934.84034617,102068550.455555,41673896.3523662,76991568.6726318,2896342.72324543,1578935.01801446,531569.252971686,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_55",132062082.051182,47906075.8292786,88191714.5332489,35875607.3628252,2373442.35806601,3556051.17301233,12181060.0614725,21151941.0347469,76254150.3550639,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,2671668.504,2086355.01,0.01,0.01,0.01,0.01,0.01,4004080.256
"ASV_58",57291638.5369098,24150996.9056694,36109993.3521964,37255438.4152416,7259941.33055485,3145737.5761263,20600322.1627844,35624321.7427315,45235512.9224955,4652758.24142558,5515674.72313684,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_59",0.01,3167343.85648123,0.01,919887.36827757,139614.256356824,136771.198962013,0.01,0.01,1938664.83953552,55833098.897107,68026654.9186877,33129485.9220294,51061197.9920471,3140544.21059829,23011924.0689346,62179691.6568326,30919342.4549814,67933737.0640869,1861934.60780064,680156.62314469,756463.936921246,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_60",9710447.20964573,0.01,9721921.2871298,24836958.9434944,2792285.12713648,3282508.77508831,12897593.006265,19760365.9666714,16155540.3294627,16284653.8449895,0.01,115164403.443245,0.01,0.01,0.01,0.01,0.01,0.01,4034191.65023471,1384604.55425883,736018.965653104,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_64",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,25590170.3278407,44125397.7850947,93078079.4952254,42180989.6456041,5424576.36376069,14488989.2285885,39888858.7987228,16131830.8460772,14718976.3638855,4241073.27332367,1311730.63035047,1185808.33355222,0.01,0.01,398403162.62,0.01,0.01,0.01,0.01,0.01,24712933.662,231585406.11,180899264.7,199489238.94,12726254.736,9435472.08,0.01,50551513.232
"ASV_65",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,73107374.054,27972622.887,18093293.888,40332765.225,0.01,0.01,0.01,0.01,3535070.76,2948585.025,59467410.744,3503570.224
"ASV_67",1942089.44192915,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,69791373.6213837,108474936.221691,3155189.13543137,51061197.9920471,4853568.32547009,24716511.0370039,31676446.6931034,20164788.5575966,35099097.4831116,0.01,364369.619541798,449789.367899119,0.01,0.01,267584213.7,0.01,15337211.34,9324207.629,0.01,6453242.436,19369596.654,108490460.52,71263346.7,105107233.42,22860124.248,24571541.875,53803847.816,44044882.816
"ASV_68",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,9465567.4062941,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,102224.856340709,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_69",25247162.7450789,0.01,30554609.7595508,7359098.94622056,698071.28178412,2461881.58131623,6090530.03073625,6679560.32676216,20032870.0085337,6979137.36213837,0.01,58370999.0054803,0.01,0.01,0.01,0.01,0.01,0.01,2430859.07129527,631574.007205783,511124.281703545,0.01,0.01,588685270.14,56343320.44,1022480.756,0.01,0.01,0.01,28720436.418,191944660.92,144353958.7,87946868.78,4242084.912,0.01,0.01,41542332.656
"ASV_70",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,47135003.16,33720799.8,0.01,0.01,0.01,9324207.629,0.01,0.01,667917.126,8345420.04,0.01,0.01,8012827.056,5897170.05,0.01,6006120.384
"ASV_71",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,9305516.48285116,1838558.24104561,75724539.2503528,46621093.8188256,5424576.36376069,26421098.0050731,37542455.3399744,28902863.5992217,48685844.8959289,2275697.85397855,1311730.63035047,1451592.96003807,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_73",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,3677116.48209123,99388457.7660881,126542968.936812,13418688.8998291,25568804.5210385,4692806.9174968,0.01,29437952.727771,2689461.10015647,1603226.32598391,1369813.0749655,0.01,33720799.8,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_74",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,181457571.415598,38609723.0619579,0.01,157623698.149363,25124353.6847863,35796326.3294539,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,18915893.986,847655.239,0.01,2688851.015,0.01,0.01,0.01,0.01,9426855.36,2948585.025,110439477.096,3503570.224
"ASV_75",6797313.04675201,14253047.3541655,22221534.3705824,5979267.8938042,1116914.05085459,1094169.5916961,5373997.08594375,13359120.6535243,8400880.9713206,4652758.24142558,22062698.8925474,15775945.6771568,33300781.2991611,5139072.34461539,0.01,75084910.6799487,53772769.4869241,91710545.0365173,0.01,388660.927511251,184004.741413276,0.01,0.01,1141692645.12,199762681.56,0.01,0.01,0.01,0.01,22709182.284,77195135.37,113290448.6,265985651.92,9426855.36,0.01,0.01,18518871.184
"ASV_76",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,50501789.1,56201333,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
"ASV_80",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,409442725.245451,5515674.72313684,0.01,102122395.984094,8850624.59350428,33239445.87735,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,802752641.1,133175121.04,0.01,0.01,0.01,0.01,15362093.898,185685595.89,98672326.2,120122552.48,17204011.032,0.01,0.01,53054063.392
"ASV_81",0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,44961066.4,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
