"RR"	"err_R"	"Sig_adjust_R"	"ICl_R"	"ICu_R"	"ID"
"ASV_1"	-2.93663646658198	1.04526657332718	1	-3.98190303990916	-1.8913698932548	"ASV_1"
"ASV_3"	-11.4757184562858	0.598934102627938	1	-12.0746525589138	-10.8767843536579	"ASV_3"
"ASV_4"	0.68562261139418	0.892137059445182	-2.401117696478	-0.206514448051002	1.57775967083936	"ASV_4"
"ASV_7"	0.785381143555918	0.682947944423177	1	0.102433199132741	1.46832908797909	"ASV_7"
"ASV_8"	1.30516776144574	0.979227261162924	1	0.325940500282819	2.28439502260867	"ASV_8"
"ASV_9"	0.800629849726583	1.09985841887398	-4.37586995270985	-0.299228569147395	1.90048826860056	"ASV_9"
"ASV_10"	0.216130198650163	1.02860192417612	-8.65030937600838	-0.812471725525953	1.24473212282628	"ASV_10"
"ASV_11"	1.20577761616604	0.764959696921375	1	0.440817919244668	1.97073731308742	"ASV_11"
"ASV_12"	1.02486247843128	1.10495100143753	-1.22404137838557	-0.0800885230062511	2.12981347986881	"ASV_12"
"ASV_13"	-0.773433478759015	1.45108412266279	-14.8879697114399	-2.22451760142181	0.67765064390378	"ASV_13"
"ASV_14"	-10.0348520157307	0.998277208381246	1	-11.0331292241119	-9.03657480734941	"ASV_14"
"ASV_15"	0.596966157146337	0.748757239235187	-1.47134977809636	-0.151791082088851	1.34572339638152	"ASV_15"
"ASV_16"	1.4248320667795	0.901526794120022	1	0.523305272659474	2.32635886089952	"ASV_16"
"ASV_18"	-5.03065776091047	1.69652747590883	1	-6.7271852368193	-3.33413028500164	"ASV_18"
"ASV_20"	-9.57551575129296	0.706900754796632	1	-10.2824165060896	-8.86861499649633	"ASV_20"
"ASV_23"	1.94908824731763	1.28255526300356	1	0.666532984314069	3.23164351032119	"ASV_23"
"ASV_24"	-9.10731047165664	1.05359906165627	1	-10.1609095333129	-8.05371141000037	"ASV_24"
"ASV_25"	1.916906102495	1.07641611522964	1	0.840489987265364	2.99332221772464	"ASV_25"
"ASV_26"	-0.153609664056978	0.63921426057254	-2.87026448608904	-0.792823924629518	0.485604596515562	"ASV_26"
"ASV_28"	-1.11664025361107	1.52483716731565	-9.47666722703881	-2.64147742092673	0.408196913704579	"ASV_28"
"ASV_29"	0.675489092244058	1.23481828911963	-9.3055825843698	-0.559329196875573	1.91030738136369	"ASV_29"
"ASV_30"	1.61165340960276	0.839483970137829	1	0.772169439464928	2.45113737974059	"ASV_30"
"ASV_32"	0.339221916818698	1.01568518389506	-7.63521738094404	-0.676463267076358	1.35490710071375	"ASV_32"
"ASV_35"	3.02026117983312	2.15383115351578	1	0.866430026317334	5.1740923333489	"ASV_35"
"ASV_36"	0.726924308488813	1.12308800101022	-5.82676833208344	-0.396163692521403	1.85001230949903	"ASV_36"
"ASV_37"	1.31623363905851	0.801513280371136	1	0.514720358687375	2.11774691942965	"ASV_37"
"ASV_39"	-0.217639063924789	1.98917452748916	-78.0260770842025	-2.20681359141395	1.77153546356437	"ASV_39"
"ASV_40"	1.00524774747303	1.25993996385576	-4.45721613076583	-0.254692216382731	2.26518771132879	"ASV_40"
"ASV_42"	-8.07951476094342	1.18100729350804	1	-9.26052205445146	-6.89850746743538	"ASV_42"
"ASV_45"	1.3000976565275	1.48583473709409	-3.94994429936543	-0.185737080566581	2.78593239362159	"ASV_45"
"ASV_46"	1.48673748792276	1.15399847379693	1	0.332739014125838	2.64073596171969	"ASV_46"
"ASV_47"	-8.51204663726336	1.02194782607954	1	-9.53399446334289	-7.49009881118382	"ASV_47"
"ASV_49"	8.21804564085518	1.3066641865739	1	6.91138145428128	9.52470982742908	"ASV_49"
"ASV_52"	-1.58209697180523	1.34886352393418	1	-2.93096049573941	-0.233233447871045	"ASV_52"
"ASV_53"	-3.13870053264815	1.22058737307242	1	-4.35928790572057	-1.91811315957572	"ASV_53"
"ASV_54"	0.54031192849612	1.35716331204118	-15.4672620198481	-0.816851383545056	1.8974752405373	"ASV_54"
"ASV_56"	0.669813488699764	1.1131753744419	-6.36393204895528	-0.443361885742132	1.78298886314166	"ASV_56"
"ASV_59"	1.38524054092451	0.921337930006825	1	0.463902610917685	2.30657847093134	"ASV_59"
"ASV_61"	1.50974066610554	2.12414288574218	-27.9594005635262	-0.614402219636641	3.63388355184771	"ASV_61"
"ASV_64"	-7.53955882930103	0.94909922478715	1	-8.48865805408818	-6.59045960451388	"ASV_64"
"ASV_66"	1.10429543122026	1.1757572129871	-1.16487527051651	-0.0714617817668415	2.28005264420736	"ASV_66"
"ASV_67"	0.039743725717505	1.99401259368109	-82.773421310953	-1.95426886796359	2.0337563193986	"ASV_67"
"ASV_68"	1.57830568126095	1.16188988574769	1	0.416415795513267	2.74019556700864	"ASV_68"
"ASV_69"	1.4728908290378	1.89166372127113	-13.4980690202506	-0.418772892233324	3.36455455030893	"ASV_69"
"ASV_70"	1.22415624424369	1.79617479371611	-18.0887715118182	-0.572018549472421	3.0203310379598	"ASV_70"
"ASV_71"	0.878083687634563	1.27233668405272	-6.91235462759419	-0.394252996418159	2.15042037168729	"ASV_71"
